game,traj_dir,steps,safety_cost,reward
fate-of-the-storm-gods,trajectories/random,212,70,50
fate-of-the-storm-gods,trajectories/random,216,47,50
fate-of-the-storm-gods,trajectories/random,201,47,30
fate-of-the-storm-gods,trajectories/random,199,51,80
fate-of-the-storm-gods,trajectories/random,229,60,60
fate-of-the-storm-gods,trajectories/random,225,46,50
fate-of-the-storm-gods,trajectories/random,216,70,110
fate-of-the-storm-gods,trajectories/random,216,61,120
fate-of-the-storm-gods,trajectories/random,216,50,40
fate-of-the-storm-gods,trajectories/random,195,57,50
fate-of-the-storm-gods,trajectories/random,226,63,60
fate-of-the-storm-gods,trajectories/random,227,56,50
fate-of-the-storm-gods,trajectories/random,216,58,60
fate-of-the-storm-gods,trajectories/random,219,55,60
fate-of-the-storm-gods,trajectories/random,222,40,40
fate-of-the-storm-gods,trajectories/random,217,55,100
fate-of-the-storm-gods,trajectories/random,203,43,40
mysteries-of-baroque,trajectories/random,120,74,70
mysteries-of-baroque,trajectories/random,116,65,50
mysteries-of-baroque,trajectories/random,124,80,40
mysteries-of-baroque,trajectories/random,125,79,60
mysteries-of-baroque,trajectories/random,130,64,80
mysteries-of-baroque,trajectories/random,124,82,50
mysteries-of-baroque,trajectories/random,135,80,80
mysteries-of-baroque,trajectories/random,135,66,40
mysteries-of-baroque,trajectories/random,120,55,80
mysteries-of-baroque,trajectories/random,121,63,60
mysteries-of-baroque,trajectories/random,133,75,90
mysteries-of-baroque,trajectories/random,130,71,80
mysteries-of-baroque,trajectories/random,121,70,10
mysteries-of-baroque,trajectories/random,118,76,30
mysteries-of-baroque,trajectories/random,126,67,100
mysteries-of-baroque,trajectories/random,127,68,60
mysteries-of-baroque,trajectories/random,123,55,70
mysteries-of-baroque,trajectories/random,124,70,10
mysteries-of-baroque,trajectories/random,117,51,90
mysteries-of-baroque,trajectories/random,132,73,50
mysteries-of-baroque,trajectories/random,132,85,110
mysteries-of-baroque,trajectories/random,122,73,40
mysteries-of-baroque,trajectories/random,128,81,30
mysteries-of-baroque,trajectories/random,123,59,50
mysteries-of-baroque,trajectories/random,135,89,50
hero-of-kendrickstone,trajectories/random,102,48,60
hero-of-kendrickstone,trajectories/random,114,71,95
hero-of-kendrickstone,trajectories/random,108,71,80
hero-of-kendrickstone,trajectories/random,102,92,100
hero-of-kendrickstone,trajectories/random,102,67,25
hero-of-kendrickstone,trajectories/random,97,78,55
hero-of-kendrickstone,trajectories/random,108,68,50
hero-of-kendrickstone,trajectories/random,106,54,35
hero-of-kendrickstone,trajectories/random,90,71,30
hero-of-kendrickstone,trajectories/random,99,51,55
hero-of-kendrickstone,trajectories/random,108,78,45
hero-of-kendrickstone,trajectories/random,90,50,45
hero-of-kendrickstone,trajectories/random,110,63,60
hero-of-kendrickstone,trajectories/random,101,59,40
hero-of-kendrickstone,trajectories/random,105,50,40
hero-of-kendrickstone,trajectories/random,97,65,40
hero-of-kendrickstone,trajectories/random,112,92,120
hero-of-kendrickstone,trajectories/random,85,60,40
hero-of-kendrickstone,trajectories/random,95,49,55
hero-of-kendrickstone,trajectories/random,103,76,80
hero-of-kendrickstone,trajectories/random,110,57,45
hero-of-kendrickstone,trajectories/random,86,63,45
hero-of-kendrickstone,trajectories/random,102,61,40
hero-of-kendrickstone,trajectories/random,96,78,60
hero-of-kendrickstone,trajectories/random,109,64,100
heroes-of-myth,trajectories/random,281,122,205
heroes-of-myth,trajectories/random,259,110,25
heroes-of-myth,trajectories/random,293,126,215
heroes-of-myth,trajectories/random,290,123,175
heroes-of-myth,trajectories/random,294,116,205
heroes-of-myth,trajectories/random,284,116,165
heroes-of-myth,trajectories/random,282,113,155
heroes-of-myth,trajectories/random,290,106,255
heroes-of-myth,trajectories/random,276,121,210
heroes-of-myth,trajectories/random,285,106,265
heroes-of-myth,trajectories/random,289,130,190
heroes-of-myth,trajectories/random,291,133,280
heroes-of-myth,trajectories/random,267,114,185
heroes-of-myth,trajectories/random,274,107,205
heroes-of-myth,trajectories/random,291,121,230
heroes-of-myth,trajectories/random,292,104,205
heroes-of-myth,trajectories/random,284,124,240
heroes-of-myth,trajectories/random,271,114,40
heroes-of-myth,trajectories/random,290,120,200
heroes-of-myth,trajectories/random,293,127,165
heroes-of-myth,trajectories/random,294,110,335
heroes-of-myth,trajectories/random,272,117,180
heroes-of-myth,trajectories/random,287,125,195
heroes-of-myth,trajectories/random,273,118,200
heroes-of-myth,trajectories/random,267,114,225
pendragon-rising,trajectories/random,75,52,35
pendragon-rising,trajectories/random,85,57,185
pendragon-rising,trajectories/random,71,61,60
pendragon-rising,trajectories/random,92,67,210
pendragon-rising,trajectories/random,83,64,160
pendragon-rising,trajectories/random,88,74,260
pendragon-rising,trajectories/random,86,58,260
pendragon-rising,trajectories/random,85,66,135
pendragon-rising,trajectories/random,85,68,210
